relative_keyword,total_search,total_store,competitive_rate
의료용손목보호대,6260.0,11938.0,1.9070287539936102
얇은손목보호대,1490.0,24004.0,16.110067114093958
의료용무릎보호대,2190.0,14142.0,6.457534246575342
의료용허리보호대,2790.0,13759.0,4.931541218637993
발목아대,3050.0,100799.0,33.048852459016395
의료용발목보호대,1130.0,7033.0,6.223893805309735
가검,2320.0,44427.0,19.14956896551724
목검,2860.0,45104.0,15.77062937062937
일본도,4270.0,10981.0,2.5716627634660423
쌍절곤,5480.0,32377.0,5.908211678832116
진검,2120.0,5194.0,2.45
도검,2440.0,23938.0,9.810655737704918
단검,2910.0,24948.0,8.57319587628866
카타나,4710.0,101530.0,21.556263269639064
대조영도검,1630.0,1174.0,0.7202453987730061
단도,2250.0,8557.0,3.8031111111111113
한일도검,2210.0,3244.0,1.4678733031674207
장검,1180.0,10348.0,8.769491525423728
사인검,1190.0,1797.0,1.5100840336134453
청룡언월도,2060.0,3334.0,1.6184466019417476
복싱화,11520.0,62133.0,5.393489583333333
주짓수도복,15210.0,56096.0,3.6880999342537804
나이키복싱화,3330.0,2160.0,0.6486486486486487
아디다스복싱화,2900.0,4449.0,1.5341379310344827
태권도화,4490.0,4996.0,1.1126948775055678
태권도도복,2680.0,19390.0,7.235074626865671
태권도복,2350.0,28124.0,11.967659574468085
유도복,3290.0,19744.0,6.001215805471125
미즈노복싱화,2780.0,940.0,0.3381294964028777
레슬링화,1960.0,21926.0,11.18673469387755
아식스복싱화,1730.0,4004.0,2.314450867052023
주짓수벨트,2380.0,12292.0,5.1647058823529415
아디다스유도복,2150.0,321.0,0.14930232558139536
바이탈도복,4930.0,851.0,0.17261663286004056
태권도띠,4410.0,8365.0,1.8968253968253967
미즈노유도복,1050.0,828.0,0.7885714285714286
불테리어도복,1170.0,649.0,0.5547008547008547
아식스레슬링화,1010.0,4186.0,4.144554455445545
소요롤도복,1650.0,1007.0,0.6103030303030303
얼굴햇빛가리개,2040.0,129553.0,63.50637254901961
스키바라클라바,4320.0,64019.0,14.819212962962963
오일파스텔,18690.0,70692.0,3.782343499197432
목각인형,2940.0,94477.0,32.13503401360544
문진,15760.0,76184.0,4.834010152284264
아크릴재단,17170.0,23732.0,1.382178217821782
화구통,3300.0,75958.0,23.017575757575756
파버카스텔색연필,5110.0,95557.0,18.7
프리즈마색연필,6210.0,31945.0,5.144122383252818
프리즈마색연필72,2620.0,3707.0,1.414885496183206
맥세이프차량용거치대,21040.0,63041.0,2.996245247148289
테이프공,4810.0,75248.0,15.644074844074844
티니핑피규어,7840.0,28349.0,3.6159438775510204
슬램덩크피규어,3020.0,65005.0,21.524834437086092
새총,9700.0,56365.0,5.810824742268041
탑로더,12410.0,39847.0,3.2108783239323127
슬램덩크만화책,5600.0,1009.0,0.18017857142857144
테이프볼,1040.0,75248.0,72.35384615384615
젤다아미보,7230.0,12861.0,1.7788381742738588
생이새우,12970.0,3466.0,0.2672320740169622
체리새우,13820.0,5621.0,0.40672937771345874
외부여과기,5050.0,67265.0,13.31980198019802
어항받침대,1800.0,83696.0,46.49777777777778
브라인쉬림프,5840.0,11438.0,1.9585616438356164
유목,9130.0,53895.0,5.903066812705367
구피사료,2210.0,48610.0,21.995475113122172
걸이식여과기,3600.0,50144.0,13.928888888888888
거북이사료,1690.0,31292.0,18.515976331360946
물멍,3680.0,88939.0,24.16820652173913
편백나무찜기,20010.0,32118.0,1.6050974512743628
엔드그레인도마,18790.0,21675.0,1.153539116551357
라탄빨래바구니,2120.0,54001.0,25.472169811320754
3단빨래바구니,3060.0,38374.0,12.540522875816993
전동빨래건조대,3970.0,27596.0,6.951133501259446
양모볼,9600.0,23700.0,2.46875
건조기양모볼,5060.0,9720.0,1.9209486166007905
혈압측정기,25170.0,106530.0,4.232419547079857
가정용혈압계,10480.0,18222.0,1.7387404580152672
비접촉체온계,4100.0,15239.0,3.716829268292683
휴비딕체온계,3870.0,2247.0,0.5806201550387597
오므론혈압계,24710.0,4358.0,0.1763658437879401
인바디체중계,27490.0,25251.0,0.918552200800291
혈압기,8390.0,103054.0,12.282955899880811
가정용혈압기,2420.0,18222.0,7.5297520661157025
만보기,18710.0,92825.0,4.961250668091929
체지방체중계,1820.0,79389.0,43.62032967032967
국산덴탈마스크,1760.0,27040.0,15.363636363636363
입호흡액상,12340.0,78838.0,6.388816855753647
차이코스,22670.0,908.0,0.040052933392148216
액상전자담배,27990.0,123459.0,4.410825294748125
자가진단키트,7720.0,18087.0,2.342875647668394
일회용전자담배,26890.0,5695.0,0.2117887690591298
아에르마스크,24180.0,16635.0,0.6879652605459057
