relative_keyword,total_search,total_store
나무도마,21400.0,252173.0
비닐봉투,25890.0,1360902.0
라텍스장갑,27010.0,350888.0
편백나무찜기,20010.0,32118.0
칼갈이,16060.0,508149.0
엔드그레인도마,18790.0,21675.0
도시락통,28180.0,335150.0
커트러리,16530.0,674972.0
세탁바구니,7100.0,713449.0
세탁망,6160.0,372442.0
다리미판,12370.0,175975.0
라탄빨래바구니,2120.0,54001.0
접이식빨래바구니,2350.0,197637.0
3단빨래바구니,3060.0,38374.0
건조대,11630.0,2219989.0
미니건조대,6770.0,184082.0
전동빨래건조대,3970.0,27596.0
접이식건조대,1340.0,623728.0
빨래통,5560.0,182175.0
양모볼,9600.0,23700.0
건조기양모볼,5060.0,9720.0
빨래집게,3600.0,569664.0
혈압측정기,25170.0,106530.0
가정용혈압계,10480.0,18222.0
비접촉체온계,4100.0,15239.0
휴비딕체온계,3870.0,2247.0
오므론혈압계,24710.0,4358.0
인바디체중계,27490.0,25251.0
혈압기,8390.0,103054.0
가정용혈압기,2420.0,18222.0
만보기,18710.0,92825.0
체지방체중계,1820.0,79389.0
일회용마스크,10770.0,253006.0
국산덴탈마스크,1760.0,27040.0
입호흡액상,12340.0,78838.0
차이코스,22670.0,908.0
액상전자담배,27990.0,123459.0
액상,16790.0,923199.0
자가진단키트,7720.0,18087.0
일회용전자담배,26890.0,5695.0
아에르마스크,24180.0,16635.0
혈당체크기,5270.0,9694.0
녹십자혈당측정기,1640.0,2712.0
혈당시험지,1970.0,53305.0
아큐첵퍼포마시험지,3000.0,1826.0
연속혈당측정기,15930.0,3282.0
아큐첵인스턴트,5910.0,4273.0
당뇨측정기,6380.0,45877.0
아큐첵인스턴트시험지,3040.0,3189.0
무채혈혈당측정기,5590.0,9064.0
혈당계,2100.0,44681.0
프리스타일리브레,9260.0,2174.0
케어센스N시험지,3450.0,2407.0
아큐첵혈당측정기,6260.0,4022.0
혈당측정기추천,3520.0,70579.0
아큐첵퍼포마,2180.0,2328.0
당뇨체크기,2560.0,9237.0
아큐첵,6300.0,15353.0
구급상자,7750.0,187366.0
여드름패치,24140.0,15205.0
흉터연고,18320.0,5995.0
파스,20830.0,253471.0
알콜스왑,13610.0,23743.0
산소호흡기,9100.0,11090.0
휴대용네블라이저,2120.0,5091.0
메피폼,13210.0,267.0
센텔라스카연고,8150.0,1288.0
휴대용약통,3520.0,107019.0
듀오덤엑스트라씬,9770.0,2258.0
더마틱스울트라,13410.0,769.0
약통,9480.0,244200.0
알약케이스,2260.0,160711.0
흉터제거연고,13760.0,2046.0
아기네블라이저,2800.0,722.0
노인지팡이,4660.0,126373.0
보행보조기,7360.0,95954.0
납골당액자,3430.0,15325.0
돋보기안경,15290.0,58564.0
지팡이,18900.0,635410.0
휠체어,23960.0,443703.0
노인보행기,7840.0,102084.0
깁스방수커버,6700.0,18740.0
납골당꾸미기,8370.0,38690.0
돋보기,17030.0,561330.0
어르신보행기,4970.0,65003.0
실버카,3010.0,143086.0
노인보행보조기,2000.0,64735.0
전동휠체어,12820.0,75895.0
이동식화장실,7660.0,186560.0
이동식변기,3670.0,89556.0
목욕의자,6510.0,244004.0
목발,9530.0,87888.0
어르신지팡이,1740.0,65410.0
목견인기,18740.0,30629.0
굽은어깨교정기,1400.0,14992.0
자세교정밴드,8730.0,85142.0
목보호대,7680.0,193923.0
의료용압박스타킹,10930.0,50953.0
라운드숄더교정,4720.0,14872.0
거북목교정기,13680.0,24323.0
어깨교정밴드,2790.0,43468.0
허리스트레칭기구,1790.0,45456.0
압박밴드,6520.0,293209.0
자세교정기,1480.0,148199.0
자세교정,6480.0,406131.0
굽은등교정기,3360.0,19007.0
일자목교정기,1700.0,9509.0
목견인치료기,2400.0,4357.0
바른자세교정,1120.0,74393.0
허리스트레칭,6720.0,92406.0
저주파치료기,10750.0,16553.0
부항기,4470.0,44198.0
적외선조사기,8800.0,27233.0
적외선치료기,9790.0,11763.0
저주파마사지기,15540.0,116704.0
초음파치료기,3650.0,4056.0
클럭패드,2840.0,51194.0
클럭,27400.0,149496.0
조사기,1140.0,35843.0
EMS마사지기,9620.0,87872.0
저주파자극기,2410.0,47699.0
클럭마사지기,10740.0,1174.0
원적외선온열치료기,8980.0,3757.0
실리콘부항,2890.0,7171.0
한솔부항기,2210.0,6526.0
근적외선좌욕기,3790.0,8698.0
가정용좌욕기,4300.0,38845.0
치질좌욕기,3690.0,15197.0
좌훈기,3520.0,31543.0
원적외선좌욕기,1680.0,3253.0
임산부좌욕기,1180.0,21713.0
좌욕대야,2210.0,17398.0
큐손길N,5510.0,1.0
좌욕,10550.0,83918.0
온열찜질기,24780.0,372789.0
찜질기,12930.0,430976.0
전기찜질기,11980.0,157676.0
전기찜질팩,10480.0,79438.0
무릎찜질기,4830.0,52576.0
허리찜질기,6330.0,100025.0
어깨찜질기,5720.0,81517.0
보온물주머니,20310.0,162181.0
온수찜질기,6660.0,37382.0
온열돔,3500.0,11699.0
어깨찜질팩,4700.0,101807.0
눈찜질팩,9790.0,38189.0
황토찜질팩,9640.0,67193.0
황토찜질기,2130.0,39646.0
배찜질기,4450.0,58199.0
허리찜질팩,4580.0,103688.0
무릎찜질팩,1660.0,45343.0
전기온열찜질기,2700.0,141561.0
