relative_keyword,total_store
브리츠스피커,61426.0
브리츠사운드바,12826.0
컴퓨터스피커,764163.0
사운드카드,393995.0
에버미디어,7504.0
앱코헤드셋,9851.0
무선게이밍헤드셋,150383.0
2채널스피커,229661.0
캔스톤스피커,5430.0
캠,1548946.0
씨게이트외장하드,46019.0
하드디스크,1788954.0
외장SSD,459022.0
SSDT7,5922.0
외장하드2TB,183007.0
외장하드1TB,211042.0
삼성SSD,166219.0
삼성외장하드,35891.0
외장하드4TB,103999.0
WDSSD,1136.0
NAS,177840.0
시놀로지,39908.0
외장하드5TB,24237.0
외장HDD,669498.0
HDD,1788954.0
파워서플라이,864501.0
컴퓨터케이스,5228894.0
파워,7801300.0
CPU쿨러,824662.0
랜케이블,760357.0
DP케이블,275164.0
CTOHDMI,126023.0
허브랙,41504.0
UTP케이블,664895.0
랜선,855735.0
HDMI2.1,167603.0
마이크로닉스파워,22756.0
전원케이블,1558197.0
RTX3060TI,18112.0
RTX3060,57506.0
무선공유기,468583.0
유무선공유기,253162.0
스위칭허브,479090.0
무선AP,230452.0
와이파이증폭기,215126.0
무선랜카드,358513.0
KVM스위치,149204.0
아이피타임,142944.0
스위치허브,335737.0
유선공유기,50920.0
유선랜카드,286315.0
블루투스동글,314750.0
오피스2021,20302.0
캐디안,710.0
큐베이스,2265.0
한컴오피스2022,1281.0
마이크로소프트오피스,4272.0
한글2022,3404.0
윈도우,2419709.0
운영체제,86276.0
굿노트다이어리,4555.0
슈퍼싱글매트리스,544736.0
퀸침대,1469047.0
흙침대,234779.0
수납침대,1037319.0
싱글매트리스,1030190.0
3단매트리스,104125.0
바닥매트리스,319421.0
원목침대,957012.0
드레스룸,802762.0
패브릭소파,1281839.0
3인용쇼파,789900.0
4인용쇼파,630087.0
좌식테이블,737154.0
소파테이블,2003164.0
3인용소파,789900.0
리클라이너쇼파,359880.0
원목거실장,272301.0
티비다이,501737.0
높은거실장,180504.0
장식장,1578720.0
소파베드,2410567.0
식탁세트,1207486.0
전자레인지선반,302745.0
원형테이블,1511987.0
4인용식탁세트,381526.0
세라믹식탁세트,149888.0
렌지대,672930.0
업소용싱크대,130682.0
원목식탁,999407.0
원형식탁,760432.0
카페테이블,1458632.0
원목의자,1371472.0
4인식탁,739244.0
수납선반,8706262.0
스탠드행거,753508.0
다용도선반,1244242.0
벽선반,1116853.0
조립선반,289145.0
드레스룸행거,429515.0
철제수납장,451410.0
이동식행거,455482.0
미니행거,213271.0
철제행거,516064.0
거실수납장,984253.0
우산꽂이,527965.0
어린이책상,408860.0
초등학생책상,109445.0
어린이의자,444646.0
아기책장,55522.0
어린이침대,665460.0
초등학생의자,56722.0
아기옷장,54614.0
2층침대,310509.0
회전책장,140896.0
이층침대,310509.0
전면책장,136773.0
한샘샘키즈수납장,1886.0
키즈침대,665460.0
성인벙커침대,44019.0
침대안전가드,99392.0
키즈의자,444646.0
교구장,100024.0
사무용의자,1890842.0
모션데스크,70106.0
카페의자,1875280.0
사무실의자,1334028.0
스탠딩책상,302919.0
게이밍책상,412540.0
높이조절책상,380608.0
사무용책상,1876801.0
안락의자,1116563.0
인테리어의자,4996784.0
사무실책상,1771291.0
발받침대,530175.0
야외용테이블,265620.0
야외테이블,1726435.0
야외테이블세트,547016.0
조립식창고,248822.0
농막,319856.0
파고라,119756.0
방음부스,79971.0
이동식주택,40913.0
모듈러주택,10439.0
어닝,478723.0
테라스가림막,125250.0
컨테이너하우스,29210.0
평상,218050.0
원두막,77511.0
조립식주택,79833.0
차양막,355478.0
폴리카보네이트,402001.0
컨테이너,957138.0
렉산,171716.0
씽크대,3827492.0
현관코일매트,118543.0
현관매트,1126672.0
인조잔디,481693.0
폼블럭,154272.0
식탁유리,187540.0
철제다리,115850.0
가구손잡이,981752.0
도어스토퍼,404548.0
타일,3149270.0
캔들워머,157057.0
식물등,187405.0
크리스마스조명,1548660.0
실내디퓨저,147503.0
LED시계,1017025.0
수유등,246704.0
탁상시계,1220663.0
LED전구,3529232.0
단스탠드,1116217.0
명화그리기,302878.0
실내방향제,211779.0
오로라무드등,77614.0
매트리스방수커버,183519.0
메모리폼베개,451553.0
다리베개,124692.0
이불패드,1322636.0
거북목베개,98555.0
기능성베개,133849.0
라텍스베개,199028.0
모달이불,509583.0
침대커버,2035100.0
여름이불,991872.0
이불세트,3218186.0
호텔침구,526714.0
호텔이불,460580.0
침구세트,3487426.0
슈퍼싱글침구세트,663366.0
알레르망침구세트,17202.0
호텔침구세트,291742.0
베개솜,473310.0
베게솜,473310.0
양모이불,97619.0
호텔베개,282656.0
배게솜,473310.0
구스베개,108225.0
쿠션솜,532181.0
이불솜,585330.0
오리털이불,300555.0
구스다운이불,512153.0
거위털이불,512153.0
솜,2497718.0
규조토발매트,335254.0
주방매트,3062821.0
욕실발매트,980167.0
화장실발매트,465676.0
원형러그,431636.0
쿨매트,464212.0
주방발매트,995321.0
거실카페트,1620453.0
빨아쓰는규조토발매트,93683.0
사계절러그,293029.0
방수러그,339841.0
쉬폰커튼,142650.0
우드블라인드,64537.0
암막블라인드,174342.0
롤스크린,333034.0
콤비블라인드,127209.0
가림막커튼,573453.0
차르르커튼,35070.0
커튼레일,178602.0
방한암막커튼,79769.0
속커튼,63786.0
안뚫어고리,7021.0
자이언트얀가방,37299.0
벨벳자이언트얀,33726.0
자이언트얀실,60722.0
자이언트얀벨벳,33726.0
똑딱이단추,141489.0
양모펠트,125589.0
원단,4529514.0
털실,306755.0
뜨개질실,601878.0
펀치니들,46833.0
해바라기보석십자수,103607.0
단추,2836436.0
양말목,27357.0
똑딱이,695084.0
힙분유,4673.0
압타밀,12185.0
분유,304012.0
압타밀프로푸트라2단계,1162.0
앱솔루트명작,6544.0
앱솔루트명작1단계,2295.0
압타밀프로푸트라1단계,1205.0
아이엠마더1단계,3549.0
아이엠마더,9810.0
산양분유,19138.0
위드맘,12436.0
퓨어락,3112.0
노발락AC,386.0
위드맘1단계,3115.0
위드맘2단계,2915.0
