relative_keyword,total_search
미즈노축구화,19430.0
키즈풋살화,7820.0
주니어풋살화,3460.0
주니어축구화,3360.0
팀조끼,2700.0
운동가방,14410.0
축구양말,9690.0
야구바지,1900.0
야구화,5610.0
야구글러브,16180.0
기아타이거즈유니폼,2930.0
배팅장갑,2900.0
야구공,8810.0
인조잔디야구화,1350.0
야구가방,2960.0
야구배트,7560.0
글러브,12530.0
유소년야구화,1240.0
나이키야구화,2480.0
인조잔디화,1060.0
투수글러브,3280.0
야구헬멧,2100.0
기아유니폼,1750.0
야구양말,1530.0
포수미트,3570.0
야구배팅장갑,1670.0
야구공케이스,2310.0
농구화,21820.0
나이키농구화,14010.0
농구공,21770.0
축구공가방,3720.0
농구골대,5140.0
루카1,2570.0
나이키업템포,5090.0
조던,22220.0
언더아머농구화,3040.0
농구공가방,1840.0
나이키에어조던,6210.0
조던1로우,3710.0
르브론20,6450.0
몰텐농구공,3160.0
줌프릭4,1590.0
슬램덩크유니폼,480.0
에어조던1로우,9040.0
아디다스농구화,2920.0
농구유니폼,3380.0
업템포,4090.0
배구공,7990.0
피구공,6890.0
미즈노배구화,4900.0
아식스배구화,9950.0
배구화,8230.0
나이키배구화,2240.0
스타배구공,940.0
스타피구공,730.0
스타피구공4호,130.0
아식스스카이엘리트,1010.0
배구유니폼,1330.0
미카사배구공,2700.0
빅발리볼,2590.0
배구화추천,1010.0
피구공4호,280.0
써코니재즈,540.0
아식스젤택틱,500.0
아식스업코트5,440.0
써코니페레그린,180.0
아디다스배구화,830.0
탁구라켓,18800.0
탁구채,11950.0
탁구화,10630.0
미즈노탁구화,6400.0
탁구공,7100.0
탁구러버,4840.0
탁구가방,2160.0
탁구라켓케이스,1520.0
탁구대,8070.0
엑시옴탁구복,1830.0
탁구유니폼,1400.0
탁구복상의,1910.0
버터플라이탁구복,1600.0
아식스탁구화,1780.0
테너지05,3180.0
탁구용품,4190.0
엑시옴탁구화,970.0
버터플라이탁구화,1570.0
탁구연습기,1380.0
엑시옴티셔츠,950.0
배드민턴라켓,33130.0
배드민턴의류,9200.0
배드민턴화,27680.0
배드민턴가방,12640.0
미즈노배드민턴화,12830.0
요넥스배드민턴화,15060.0
셔틀콕,13230.0
요넥스티셔츠,6230.0
배드민턴그립테이프,1070.0
배드민턴그립,7520.0
요넥스,52040.0
배드민턴신발,5020.0
배드민턴티셔츠,2280.0
요넥스반바지,2010.0
KBB79,6240.0
요넥스배드민턴라켓,10510.0
요넥스바람막이,6490.0
