relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
공인중개사기출문제집,4,5,0,12,19,3,0,0,315,14
메구리즘,0,7,9,1,13,6,11,10,50350,1258
배란테스트기,0,6,13,4,18,4,12,6,79404,1985
햇땅콩,9,8,18,5,13,6,13,8,39748,993
밤부베베엠보손수건,1,0,4,15,33,1,6,0,3239,80
감마리놀렌산,3,1,8,1,3,2,17,18,73252,1831
그리에이트매직기,11,3,13,6,13,5,17,5,19938,498
타닥화로대,4,0,4,2,38,1,1,0,343,8
일본동전지갑,6,16,11,0,13,6,18,3,16101,402
원목마루,7,12,6,1,27,0,7,6,24740,618
코세척분말,0,4,6,2,5,6,17,12,53722,1343
고양이샴푸,6,4,16,3,5,2,14,19,87337,2183
대추야자,3,11,12,12,13,5,15,7,53186,1329
놋담방짜유기,0,0,4,0,21,5,11,3,17834,445
거주청소,27,4,3,6,36,1,3,0,1457,36
발냄새제거,6,8,13,5,10,5,17,8,55489,1387
냉동낙지,2,6,15,17,9,3,20,8,24502,612
가족시밀러룩,14,9,13,0,16,5,14,5,15148,378
광천새우젓,10,13,7,10,9,9,13,9,63542,1588
순대부속,3,7,14,2,20,4,11,5,51815,1295
에기케이스,0,3,4,6,18,6,13,3,12879,321
볼빅골프공,3,0,18,3,16,5,12,7,19059,476
로얄젤리,15,3,12,5,6,6,22,6,27096,677
로얄제리,16,3,12,4,6,6,22,6,27127,678
브라운세척액,7,1,16,16,14,5,13,8,43637,1090
닥터모리엔,16,2,15,6,36,1,2,1,14489,362
양파5KG,5,8,16,11,7,3,16,14,102682,2567
담배냄새제거,10,7,14,4,12,3,17,8,34300,857
내성발톱,2,10,10,0,18,2,11,9,37756,943
돼지부속,3,6,10,2,22,4,10,4,35243,881
태양초고추장,1,4,7,0,9,2,22,7,25573,639
아모스샴푸,2,3,12,10,18,0,6,16,93237,2330
바퀴약,2,6,13,19,9,6,20,5,30134,753
3M물걸레청소포,0,4,11,10,7,3,16,14,116721,2918
베트남지갑,10,9,6,2,16,9,9,6,31623,790
가정용제모기,11,11,7,9,18,6,14,2,12170,304
100인치스크린,6,2,6,1,10,6,17,7,20470,511
힛툴,0,0,2,0,35,2,3,0,2089,52
카스제로,2,4,23,10,16,4,15,5,48683,1217
여주분말,1,0,6,2,22,4,7,7,20821,520
전통주선물세트,4,5,15,7,11,6,19,4,12572,314
강황가루,5,0,6,1,10,2,22,6,30056,751
컵누들매콤한맛,1,7,12,18,16,3,9,12,161705,4042
어린이치즈,3,5,4,23,25,3,6,6,29251,731
비알레띠뉴브리카,1,1,13,1,22,5,10,3,10453,261
냉장고온도계,3,0,0,2,23,7,7,3,7537,188
아베다,0,4,4,5,9,5,13,13,34844,871
에이지20S팩트리필,2,3,14,21,18,4,14,4,37152,928
코닥일회용필름카메라,5,4,13,8,19,1,16,4,86987,2174
틴닝가위,11,6,20,3,14,2,11,13,89099,2227
골프볼파우치,3,7,5,0,28,2,7,3,7376,184
육추기,0,1,0,1,38,1,1,0,427,10
닌텐도스포츠,2,2,14,11,16,4,13,7,30514,762
찰현미,2,4,8,20,4,1,20,15,166614,4165
식이유황,7,5,22,2,4,5,19,12,46388,1159
브레프,0,1,7,16,3,3,21,13,73749,1843
때밀이장갑,1,7,19,1,3,2,17,18,301995,7549
지팡이의자,2,2,2,1,38,1,1,0,419,10
코털왁싱,7,7,16,7,22,6,8,4,20490,512
가마솥밥,14,7,13,6,22,1,16,1,7359,183
아기부츠,4,2,21,5,17,3,16,4,19194,479
기장미역,6,11,19,4,2,6,23,9,53058,1326
백순대,3,6,4,0,15,4,12,9,41542,1038
차판,1,0,4,0,32,1,7,0,1745,43
성경김,1,4,12,3,3,3,14,20,68441,1711
카프슬리브,3,1,10,1,14,5,18,3,13856,346
엘로엘선쿠션,2,1,16,13,12,3,19,6,26332,658
아기수영복,10,12,12,0,10,2,20,8,27347,683
호신용경보기,2,3,7,4,21,3,13,3,12053,301
맥심화이트골드400,5,1,7,26,17,5,8,10,118897,2972
코베아버너,2,2,9,1,19,6,13,2,10802,270
모니터화면보호기,3,6,22,2,14,7,12,7,34314,857
풋레스트,2,4,13,0,10,1,19,10,32188,804
야리따이호다이,6,3,12,9,37,0,0,3,5378,134
트위스트운동기구,3,0,1,0,33,2,4,1,4506,112
핫앤쿡,1,3,11,1,15,4,15,6,110073,2751
새우장,10,7,12,11,5,1,12,22,166235,4155
여자헬스장갑,3,5,10,7,10,3,18,9,76899,1922
조인트서포트뉴트리언트,5,6,17,12,25,2,11,2,7519,187
추황배,12,7,12,9,24,0,15,1,7158,178
바디바,4,0,11,12,18,2,13,7,17839,445
아코디언의자,5,2,6,0,30,1,6,3,8720,218
코스트코고릴라랙,5,3,6,8,28,3,6,3,8344,208
운수대통수산,0,0,5,0,4,0,1,0,379,75
레몬청,7,7,22,2,7,4,13,16,82721,2068
다이슨V10거치대,8,8,10,11,21,2,11,6,80438,2010
메세타,0,7,7,6,25,7,8,0,2207,55
아모스컬링에센스2X,8,10,12,8,21,3,7,9,162943,4073
백일상차림,24,10,5,1,24,4,7,5,26976,674
발톱스케일링,12,12,7,8,23,5,10,2,7466,186
비오템올인원,7,6,15,11,27,1,9,3,33402,835
눈꽃치즈,1,0,8,3,20,5,11,4,9138,228
사무실서랍장,1,1,6,1,32,3,3,2,5726,143
