relative_keyword,total_search,total_store_count,competitive_rate
굿노트다이어리,9940.0,4663.0,0.47
마이크로소프트365,18810.0,3754.0,0.2
프로크리에이트브러쉬,9420.0,862.0,0.09
한컴오피스2024,5610.0,757.0,0.13
자코모4인쇼파,24020.0,16382.0,0.68
이케아수납장,27340.0,40607.0,1.49
이케아선반,19610.0,55692.0,2.84
한샘샘키즈수납장,24490.0,2485.0,0.1
아기책장,13930.0,59881.0,4.3
교구장,16340.0,99868.0,6.11
아기옷장,13760.0,55256.0,4.02
침대안전가드,5860.0,102328.0,17.46
아기침대가드,9420.0,46878.0,4.98
아기행거,8420.0,37101.0,4.41
본베베침대가드,9330.0,30.0,0.0
방음부스,21190.0,80169.0,3.78
모듈러주택,22970.0,10754.0,0.47
컨테이너하우스,15670.0,31082.0,1.98
이동식주택,14770.0,41602.0,2.82
조립식주택,18890.0,81496.0,4.31
콤비락,2600.0,8851.0,3.4
화장실리모델링,29800.0,49869.0,1.67
알레르망침구세트,14670.0,17310.0,1.18
닥스이불,5180.0,17051.0,3.29
라지킹침구세트,4720.0,27140.0,5.75
알레르망키즈,3620.0,1366.0,0.38
닥스이불세트,2070.0,10045.0,4.85
목화솜이불,6160.0,20408.0,3.31
알레르망베개,3420.0,6598.0,1.93
요솜,1730.0,37028.0,21.4
헬렌스타인베개,1380.0,8361.0,6.06
헬렌스타인,18500.0,19397.0,1.05
빨아쓰는규조토발매트,3510.0,94897.0,27.04
워셔블러그,5230.0,105881.0,20.24
우드블라인드,16620.0,68545.0,4.12
나비주름커튼,3350.0,91889.0,27.43
작은창커튼,8260.0,95844.0,11.6
모던하우스커튼,12420.0,11722.0,0.94
누빔원단,9430.0,37862.0,4.02
라라뜨개,23380.0,1297.0,0.06
양말목,16790.0,24502.0,1.46
자이언트얀,29280.0,76894.0,2.63
목도리뜨개질,27330.0,76544.0,2.8
벨보아,11900.0,44736.0,3.76
니트컨테이너,11870.0,2149.0,0.18
수세미실,9130.0,37655.0,4.12
바라클라바뜨기,12380.0,265.0,0.02
힙분유,17420.0,5011.0,0.29
앱솔루트명작,15660.0,6764.0,0.43
앱솔루트명작1단계,4980.0,2335.0,0.47
압타밀,29250.0,12318.0,0.42
산양분유,10510.0,20160.0,1.92
A2분유,12670.0,2149.0,0.17
아이엠마더1단계,3810.0,3650.0,0.96
압타밀프로푸트라1단계,11660.0,1244.0,0.11
아이엠마더,13970.0,10244.0,0.73
압타밀프로푸트라2단계,6180.0,1223.0,0.2
액상분유,7100.0,9678.0,1.36
퓨어락,5960.0,3033.0,0.51
앱솔루트센서티브,7030.0,3399.0,0.48
명작1단계,2800.0,2990.0,1.07
위드맘1단계,2400.0,2957.0,1.23
