relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
누빔원단,9430.0,37862.0,4.02,10794.0,68770.0
양말목,16790.0,24502.0,1.46,7025.0,562744.0
자이언트얀,29280.0,76894.0,2.63,9877.0,905189.0
목도리뜨개질,27330.0,76544.0,2.8,23977.0,141459.0
벨보아,11900.0,44736.0,3.76,11598.0,540576.0
바라클라바뜨기,12380.0,265.0,0.02,21470.0,108727.0
힙분유,17420.0,5011.0,0.29,83231.0,8804925.0
앱솔루트명작,15660.0,6764.0,0.43,56688.0,4081225.0
앱솔루트명작1단계,4980.0,2335.0,0.47,50111.0,466725.0
압타밀,29250.0,12318.0,0.42,78492.0,9193529.0
산양분유,10510.0,20160.0,1.92,41406.0,5440065.0
아이엠마더1단계,3810.0,3650.0,0.96,34064.0,2063896.0
아이엠마더,13970.0,10244.0,0.73,49349.0,2077836.0
액상분유,7100.0,9678.0,1.36,27655.0,4041846.0
앱솔루트센서티브,7030.0,3399.0,0.48,85108.0,193656.0
명작1단계,2800.0,2990.0,1.07,53594.0,559270.0
위드맘1단계,2400.0,2957.0,1.23,59393.0,95578.0
앱솔루트명작2단계,2230.0,2458.0,1.1,54742.0,6876322.0
앱솔루트센서티브1단계,1350.0,1025.0,0.76,83473.0,212175.0
천기저귀,9140.0,49956.0,5.47,19584.0,1139206.0
하기스네이처메이드1단계,7600.0,4455.0,0.59,46321.0,5061096.0
하기스네이처메이드2단계,9330.0,5682.0,0.61,46985.0,5460309.0
팸퍼스,26160.0,18537.0,0.71,35533.0,68796548.0
팸퍼스기저귀,16050.0,17841.0,1.11,36512.0,62000105.0
하기스기저귀,14190.0,104125.0,7.34,20514.0,10221123.0
신생아기저귀,10700.0,51472.0,4.81,24436.0,7347112.0
하기스네이처메이드,13260.0,42852.0,3.23,35231.0,5255557.0
나비잠기저귀,7680.0,5862.0,0.76,35432.0,3597845.0
리베로터치6단계,1560.0,31.0,0.02,47351.0,2788609.0
크린베베,3110.0,2549.0,0.82,20233.0,1330652.0
하기스네이처메이드3단계,5030.0,8858.0,1.76,60299.0,4958421.0
팸퍼스베이비드라이5단계,3870.0,2255.0,0.58,59197.0,1359460.0
팸퍼스베이비드라이6단계,2540.0,2009.0,0.79,60829.0,30963367.0
크린베베일자형기저귀,2590.0,2293.0,0.89,22236.0,1181918.0
마미포코기저귀,5890.0,30872.0,5.24,44772.0,3007181.0
하기스네이처메이드5단계,2540.0,8358.0,3.29,44660.0,6317474.0
브라운물티슈,28360.0,5478.0,0.19,33799.0,44417155.0
마이비데,21270.0,24691.0,1.16,11496.0,2735654.0
앙블랑물티슈,9030.0,5809.0,0.64,21418.0,17245.0
