relative_keyword,avg_sale
아몬드오일,69613
해피바스바디오일,28330
더마비바디오일,16488
NUXE오일,203364
아로마티카바디오일,81563
눅스,181607
불리바디오일,119209
이솝바디오일,40307
아베다오일,44183
눅스드라이오일,110766
헉슬리바디오일,1005750
눅스오일100ML,211429
러쉬바디스프레이,1463290
필로우미스트,129526
바디판타지,86133
낫포유바디미스트,562497
러쉬더티스프레이,1733410
러쉬더티,1733410
바디판타지바디미스트,86133
록시땅필로우미스트,145098
더바디샵화이트머스크,161789
비욘드바디미스트,693530
씨퓨리바디미스트,847170
샤넬바디미스트,630045
등드름미스트,362142
빅토리아시크릿바디미스트,142605
빅토리아시크릿바디로션,142017
도브바디워시,687746
남자바디워시,3147886
대용량바디워시,8112310
해피바스바디워시,1596231
등드름바디워시,2810512
향좋은바디워시,12124657
향기좋은바디워시,3768337
우르오스바디워시,953235
닥터브로너스,1142818
닥터브로너스바디워시,1109833
베타인살리실레이트바디워시,851744
퍼퓸바디워시,8486627
일리윤바디워시,1103192
때필링,474324
사봉바디스크럽,58916
플루바디스크럽,3956179
클린샤워,466820
더페이스샵때필링,96570
사봉,97850
지오마바디스크럽,148344
왁싱스크럽,1875302
보들보들때필링,104525
트리헛바디스크럽,14498
베트남커피스크럽,65013
엄마의목욕탕레시피,1320246
오제끄실크바디필링,308401
질세정제,1591242
이너퍼퓸,2215979
유리아쥬여성청결제,1074371
Y존케어,2258575
이너케어젤,1290038
질경이여성청결제,416485
라라로즈데이,271013
저분자피쉬콜라겐,10225001
크리노산,19028
와이블라썸,
질경이,433957
딜라이트타임,199800
뉴스킨바디바,2161314
도브센서티브바미국,198130
뉴스킨비누,1808103
바디바,1586562
러쉬비누,47659
록시땅비누,16496
무궁화때비누,153323
퓨어레비,1946011
라벨영,77579
크리스마스비누,42503
대용량핸드크림,842228
고보습핸드크림,580932
핸드워시리필,4957513
아이깨끗해,4458579
더프트앤도프트핸드크림,695186
퍼퓸핸드크림,882165
아이깨끗해리필,3914352
풋샴푸,894936
풋크림,1086345
발각질제거제,597338
고운발크림,242354
온더바디발을씻자,633049
발샴푸,696634
풋스틱,71486
고운발,254398
발각질제거팩,485454
뉴트로지나풋크림,58041
온더바디풋샴푸,652066
발크림,630204
발을씻자리필,449547
코튼풋,657105
오킵스풋크림,98263
배쓰밤,1223639
러쉬입욕제,356561
젤리입욕제,2979175
유노하나입욕제,45593
젤리탕,
유노하나,49360
아로마롤온,414424
도테라오일,482567
유칼립투스오일,1200863
천연아로마오일,1174183
페퍼민트오일,1221085
라벤더오일,1333704
데오드란트스틱,508639
크리스탈데오드란트,181236
데오드란트스프레이,118971
니베아데오드란트,324908
데오드란트롤온,184537
이솝데오드란트,95592
니베아데오드란트롤온,95592
니베아데오드란트스틱,216739
풋데오드란트,182006
셀프왁싱,3051077
제모크림,2906444
왁싱재료,1252470
제모패드,651358
슈가링왁싱,4376530
셀프브라질리언왁싱,2700249
코털왁싱,1561262
겨드랑이제모,3577040
셀프왁싱키트,1943347
수용성젤,3325057
러브수용성젤,2470564
러브제리1위,2345321
아스트로글레이드,647563
셀룰라이트크림,298851
부부관계젤,241469
초음파젤,123254
록시땅세트,544887
요아럽,12500
힐로소피,675501
스킨부탁,8761
러쉬선물세트,43506
지성샴푸,16075145
메디올샴푸,1052488
보색샴푸,989392
새치샴푸,2043420
아모스샴푸,709667
이브로쉐헤어식초,496462
아모스소프트닝컨디셔너,61971
케라시스린스,17550
헤드앤숄더린스,31136
헤어식초,403083
아베다컨디셔너,124873
노워시트리트먼트,3584719
단백질트리트먼트,9054357
미용실트리트먼트,3987316
글라이신트리트먼트,3093974
헤드스파7트리트먼트,404732
LPP트리트먼트,5531014
미장센트리트먼트,161239
아모스트리트먼트,560135
헤드스파7,438123
아르간오일,5111335
남자헤어에센스,2793270
컬링에센스,2802662
헤어토닉,1735826
실크테라피,1224052
아모스컬링에센스2X,439905
아르간헤어오일,5783914
아모스컬링에센스,527771
미장센퍼펙트세럼,98134
두피세럼,4605819
두피에센스,5038574
헤어앰플,1004731
케라스타즈,1906490
극손상헤어팩,765037
단백질헤어팩,787648
헤어단백질팩,914089
제이숲헤어팩,7376850
로레알헤어팩,221584
