relative_keyword,total_search,total_store,competitive_rate,avg_price,avg_sale
인형꽃다발,17670.0,54706.0,3.0959818902093943,21575.0,599644.0
졸업식꽃다발,11370.0,49400.0,4.34476693051891,18675.0,879503.0
승진화분,2830.0,83465.0,29.492932862190813,63482.0,1242000.0
씨감자,1730.0,501.0,0.2895953757225433,28474.0,23455.0
킨더조이꽃다발,16080.0,4865.0,0.3025497512437811,14227.0,471801.0
비누꽃다발,7670.0,75442.0,9.835984354628422,14860.0,502443.0
올리브나무,22770.0,52213.0,2.2930610452349582,49978.0,370750.0
제초매트,6570.0,38289.0,5.827853881278539,29148.0,923008.0
수경재배기,4680.0,110021.0,23.508760683760684,51090.0,1124928.0
모두싹,2280.0,4053.0,1.7776315789473685,18867.0,681178.0
닌텐도스위치스포츠,15740.0,9722.0,0.6176620076238882,54505.0,1476846.0
닌텐도스위치조이콘,13660.0,81768.0,5.985944363103953,39548.0,1904631.0
링피트,13540.0,58949.0,4.353692762186115,81980.0,893786.0
모니터보안필름,6080.0,67771.0,11.14654605263158,44172.0,871918.0
키보드손목받침대,6410.0,123396.0,19.250546021840872,15167.0,1077512.0
마우스손목받침대,4830.0,126395.0,26.16873706004141,12816.0,863920.0
15인치노트북파우치,3570.0,89225.0,24.99299719887955,21613.0,1779166.0
노트북쿨링패드,2350.0,97804.0,41.61872340425532,23478.0,1941886.0
아이패드종이필름,4150.0,75921.0,18.29421686746988,11968.0,2700251.0
갤럭시탭S8케이스,3680.0,122972.0,33.416304347826085,19092.0,3914012.0
짭플펜슬,12160.0,6628.0,0.5450657894736842,23581.0,1814339.0
아이패드에어4케이스,5410.0,102084.0,18.869500924214417,19893.0,1565994.0
애플펜슬펜촉,23360.0,21001.0,0.8990154109589041,6632.0,2019949.0
갤럭시탭S8플러스케이스,1440.0,39913.0,27.71736111111111,23337.0,3043765.0
아이패드9세대케이스,8040.0,65344.0,8.127363184079602,18131.0,1256864.0
아이패드미니6케이스,3740.0,67690.0,18.09893048128342,16652.0,560164.0
아이패드에어5케이스,10600.0,96087.0,9.064811320754718,20854.0,1555208.0
갤럭시탭S6라이트케이스,3280.0,42067.0,12.82530487804878,15945.0,1038402.0
아이패드종이질감필름,2370.0,69937.0,29.50928270042194,13239.0,2866225.0
듀얼모니터암,7780.0,108765.0,13.980077120822624,66996.0,1120787.0
듀얼모니터받침대,6460.0,68299.0,10.572600619195049,20187.0,1244328.0
싱글모니터암,1030.0,47169.0,45.79514563106796,50790.0,1453787.0
원목모니터받침대,1320.0,64072.0,48.53939393939394,16261.0,757730.0
높이조절모니터받침대,1170.0,54249.0,46.36666666666667,23147.0,902003.0
모니터암듀얼,3680.0,108765.0,29.55570652173913,69700.0,1632705.0
카멜모니터암,8130.0,11518.0,1.4167281672816727,76837.0,1494217.0
MLT-K200L,3040.0,8566.0,2.8177631578947366,20033.0,840250.0
CLT-K510S,3330.0,6916.0,2.076876876876877,28556.0,3312965.0
브리츠스피커,8780.0,61426.0,6.996127562642369,30774.0,882430.0
브리츠사운드바,2660.0,12826.0,4.821804511278195,31848.0,630110.0
앱코헤드셋,3960.0,9851.0,2.487626262626262,32180.0,334465.0
