relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
전자파측정기,2,5,2,0,28,4,8,0,3243,81
사각법랑냄비,6,6,5,0,34,0,6,0,2142,53
드라이클리닝세제,11,2,8,17,23,4,12,1,6716,167
한상궁겉절이,1,3,1,35,14,2,13,11,84482,2112
두돌아기장난감,2,10,28,0,15,5,13,7,21062,526
화장실변기막혔을때,4,9,3,2,27,2,6,5,24543,613
등유통,7,6,16,11,23,2,10,5,21780,544
피아노매트,4,5,7,0,24,4,11,1,4312,107
타프팬,6,3,14,7,14,6,13,7,32766,819
무타공수건걸이,0,5,9,0,17,2,20,1,14462,361
건오미자,14,4,18,4,11,2,19,8,20202,505
티에스샴푸,0,0,12,14,12,4,15,9,54004,1350
CEP카프슬리브,0,0,3,0,37,0,3,0,836,20
실론티,1,0,6,1,25,2,12,1,14963,374
표일배,1,1,8,0,33,1,5,1,14168,354
각궁,1,0,4,3,36,2,2,0,719,17
슬리퍼거치대,4,4,11,0,8,5,20,7,30976,774
실내화거치대,6,3,15,1,9,5,17,9,39362,984
못난이명란,3,2,22,13,18,3,13,6,22499,562
제로픽,10,2,21,7,35,1,4,0,1793,44
레가리스LT,2,3,17,11,28,1,7,4,8690,217
로봇물고기,4,4,2,6,33,2,3,2,3611,90
솔체,12,4,1,7,35,1,4,0,2356,58
산초기름,17,0,10,12,19,6,15,0,5532,138
헤라에어리파우더프라이머,5,10,2,22,34,3,2,1,4199,104
간마늘,3,2,20,15,6,4,18,12,56595,1414
고들빼기김치,8,9,14,7,20,5,12,3,15885,397
충전손난로,4,4,5,1,12,5,12,11,32228,805
우수관커버,9,8,6,3,16,5,13,6,39797,994
끌로에향수,3,1,9,22,20,6,8,6,15139,378
피스카스주방가위,1,0,12,10,36,1,3,0,1206,30
딥디크헤어미스트,7,0,19,10,31,1,6,2,4753,118
양갱,4,6,19,5,5,5,20,10,30040,751
비욘드바디오일,7,0,0,29,35,0,5,0,1407,35
브리츠사운드바,1,6,8,4,12,5,14,9,50341,1258
미니핫도그,2,2,5,2,20,7,8,5,17014,425
정관장홍삼원,2,4,9,12,13,1,18,8,28882,722
프리다이빙체험,30,4,6,0,27,5,8,0,2351,58
듀이셀톤업크림,13,2,8,16,36,2,1,1,1784,44
캐리어보호커버,3,12,4,0,25,3,8,4,8034,200
감따는기구,1,0,3,1,32,2,5,1,2234,55
마이비,2,1,6,24,23,7,9,1,4964,124
백패킹테이블,3,4,21,4,13,4,16,7,24865,621
압축봉행거,2,5,4,3,24,5,7,4,18260,456
하루견과류,4,6,13,17,12,5,15,8,43786,1094
슬라이스햄,0,1,8,6,7,5,19,9,35397,884
런닝장갑,2,2,24,6,21,8,9,2,7555,188
차량용커피포트,0,2,2,0,33,2,5,0,1442,36
바이오더마센시비오클렌징워터,0,5,16,11,20,3,9,8,47755,1193
셀프스케일링,4,6,10,1,19,1,13,7,31111,777
드레스대여,17,3,20,0,27,5,8,0,2158,53
깁스방수커버,4,5,7,1,10,9,11,10,49873,1246
부케캔들,17,10,1,0,18,5,14,3,10955,273
100대명산지도,13,10,12,5,29,3,5,3,9533,238
야자수매트,5,3,0,0,34,2,4,0,894,22
웰치스젤리,1,0,3,8,15,10,11,4,37167,929
루이비통가방끈,7,8,25,0,12,4,17,7,29146,728
발찜질팩,4,6,9,4,24,4,6,6,55573,1389
불스원에어컨필터,0,7,7,14,15,5,15,5,40885,1022
국산쥐포,9,6,17,8,6,5,15,14,92110,2302
우레탄창,9,4,27,0,15,8,17,0,4852,121
다이와후에고,5,4,18,8,28,6,6,0,2640,66
삼성노트북충전기,1,3,33,3,12,0,23,5,22788,569
유소년야구화,9,6,6,0,33,2,5,0,1734,43
캄포도마,5,9,9,0,12,4,16,8,52461,1311
그로밋키링,10,20,4,2,22,7,10,1,6524,163
시디즈의자커버,1,2,12,1,21,7,8,4,14537,363
페퍼로니,0,2,7,6,24,2,12,2,9588,239
산소포화도측정기,1,1,7,0,11,5,18,6,25011,625
꼬꼬맘,2,5,2,1,33,1,4,2,3826,95
칸탈로프멜론,12,1,8,7,31,4,4,1,3455,86
테일러메이드골프공,7,5,17,3,29,3,7,1,4127,103
다이슨에어랩파우치,12,7,14,3,11,7,16,6,20605,515
무선프리젠터,3,4,14,3,11,3,22,4,17057,426
포토앨범제작,14,7,13,1,22,3,9,6,39172,979
아이나비후방카메라,5,1,16,12,20,2,13,5,12900,322
테너지05,3,1,2,1,36,2,2,0,1155,28
금목서향수,10,14,14,2,27,3,10,0,2627,65
