relative_keyword,avg_sale
팸퍼스기저귀,62000105.0
하기스기저귀,10221123.0
신생아기저귀,7347112.0
하기스네이처메이드,5255557.0
나비잠기저귀,3597845.0
밤부베베천기저귀,
리베로터치6단계,2788609.0
크린베베,1330652.0
하기스네이처메이드3단계,4958421.0
팸퍼스베이비드라이5단계,1359460.0
팸퍼스베이비드라이6단계,30963367.0
크린베베일자형기저귀,1181918.0
마미포코기저귀,3007181.0
하기스네이처메이드5단계,6317474.0
브라운물티슈,44417155.0
마이비데,2735654.0
앙블랑물티슈,17245.0
베베숲시그니처블루,4246633.0
베베앙물티슈,455276.0
대용량물티슈,13402025.0
베베숲시그니처레드,11302.0
순둥이물티슈,2260327.0
비데물티슈,5817089.0
붕어빵물티슈,138063.0
애터미물티슈,963247.0
페넬로페물티슈,6348223.0
이유식큐브,4453343.0
아기반찬,2752751.0
생선파는언니,3398358.0
큐브데이,6984202.0
실온이유식,1039768.0
맘마밀,789367.0
얼라맘마,3943602.0
초기이유식,4704895.0
아기간장,271600.0
아기김,1690851.0
바맘,7485992.0
아기퓨레,8347301.0
루솔이유식,163080.0
이유식야채큐브,7448389.0
아넬라퓨레,9638992.0
담은수,
뽀로로음료수,2108120.0
루솔진한배도라지즙,3131300.0
뽀로로음료,2492970.0
아기배도라지즙,1892938.0
킨더밀쉬,7716318.0
아기보리차,2035492.0
아기치즈,1550596.0
티딩러스크,1754090.0
이치비야,22333.0
뽀로로보리차,5835850.0
배도라지즙아기,1843161.0
요미요미,848933.0
아기떡뻥,4291880.0
또또맘,3931598.0
아이키커,451344.0
아기요거트,838501.0
역류방지쿠션,8383521.0
제이앤제나역류방지쿠션,27764376.0
수유쿠션,9640993.0
더블하트젖꼭지,1221340.0
더블하트젖병,1478931.0
쪽쪽이,4706541.0
셀프수유쿠션,377464.0
유축기,2055272.0
모윰쪽쪽이,
제이앤제나,3909630.0
닥터브라운젖병,933833.0
쪽쪽이클립,669263.0
아벤트쪽쪽이,3635088.0
역방쿠,8126111.0
수유시트,9027832.0
수유패드,1309995.0
헤겐젖병,1836526.0
스펙트라유축기,931508.0
유모차라이너,7281248.0
유모차방한커버,1651593.0
유모차방풍커버,2512283.0
유모차컵홀더,657057.0
유모차선풍기,1716206.0
