relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
배달우주복,3230.0,31552.0,9.77,71882.0,580000.0,1,2,0,2,39,1,0,0,241,6,39,1,0,0
유리본드,1270.0,9942.0,7.83,10888.0,580066.0,4,9,2,2,30,1,6,3,13700,342,37,1,2,0
폰터스구명조끼,1600.0,3542.0,2.21,91834.0,581111.0,4,5,1,2,31,2,7,0,3156,78,36,3,1,0
열패치,3560.0,61032.0,17.14,9478.0,582312.0,1,1,4,2,27,4,6,3,7191,179,35,2,3,0
캠핑설거지건조대,1170.0,22671.0,19.38,24011.0,582838.0,4,0,6,0,30,4,2,4,12543,313,30,3,7,0
날짜스탬프,2720.0,38336.0,14.09,11296.0,582869.0,3,5,3,0,28,4,6,2,7446,186,34,3,3,0
이오나이저,3150.0,43380.0,13.77,84906.0,583916.0,1,1,0,0,39,1,0,0,72,1,40,0,0,0
셀프스튜디오,19430.0,51684.0,2.66,17477.0,584313.0,35,5,0,0,13,6,19,2,13092,327,5,2,31,2
아일랜드파티션,1570.0,15705.0,10.0,84830.0,584479.0,7,2,1,1,32,2,6,0,2664,66,27,1,12,0
콩잎장아찌,3810.0,873.0,0.23,15350.0,585068.0,8,12,6,2,11,7,18,4,21039,525,25,7,7,1
벌통,1110.0,44342.0,39.95,41425.0,586111.0,2,2,0,0,37,1,2,0,1053,26,38,2,0,0
카시트발받침,1550.0,5092.0,3.29,32061.0,586578.0,5,8,4,0,33,1,3,3,10842,271,34,2,4,0
파이프밴딩기,1920.0,105091.0,54.73,78038.0,587500.0,2,0,1,0,38,1,1,0,290,7,40,0,0,0
대나무숯,1790.0,52933.0,29.57,15931.0,587916.0,2,5,0,1,36,1,2,1,1968,49,38,1,1,0
그림스,1340.0,830.0,0.62,97761.0,588950.0,18,0,5,0,33,4,2,1,3073,76,37,1,2,0
화구통,3600.0,75172.0,20.88,11747.0,590766.0,1,1,1,0,30,2,7,1,5101,127,37,1,2,0
캐틀벨,3510.0,64666.0,18.42,22463.0,591725.0,1,5,4,1,16,5,13,6,20466,511,30,7,3,0
커틀벨,2720.0,64666.0,23.77,22424.0,591725.0,1,5,4,1,16,5,13,6,20468,511,30,7,3,0
기계식계산기,2880.0,27172.0,9.43,22384.0,593044.0,7,9,7,0,26,3,11,0,2747,68,24,2,12,2
강아지짖음방지기,1290.0,18531.0,14.37,26364.0,594171.0,2,4,2,2,25,5,8,2,8490,212,36,1,3,0
레몬스퀴즈,1930.0,13294.0,6.89,13580.0,594450.0,3,3,3,0,30,1,9,0,3658,91,33,2,5,0
신생아겉싸개,3970.0,8048.0,2.03,41591.0,594627.0,4,6,7,2,22,7,8,3,11700,292,24,10,6,0
어질리티,4360.0,28698.0,6.58,58962.0,594859.0,6,4,0,0,34,1,5,0,1738,43,31,1,8,0
대광기포기,1170.0,1398.0,1.19,22706.0,596184.0,0,1,3,2,31,3,4,2,7504,187,37,2,1,0
캠핑싱크대,1160.0,49763.0,42.9,85629.0,596208.0,7,4,7,2,34,1,5,0,1028,25,29,3,7,1
문걸이선반,2760.0,24459.0,8.86,22975.0,596448.0,4,8,8,0,22,4,10,4,21291,532,27,5,7,1
헤드테니스가방,2540.0,26954.0,10.61,91064.0,596779.0,2,4,9,0,35,1,4,0,1583,39,33,4,3,0
