cid,title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50000068,재활운동용품,목견인기,자세교정밴드,목보호대,거북목교정기,의료용압박스타킹,거북목교정,센시안압박스타킹,압박밴드,자세교정,어깨교정밴드,허리스트레칭기구,편마비손가락재활운동스트레칭기구,발목보조기,cpm대여,허리견인기,골반교정기,압박스타킹,깁스신발,디스크닥터cs500g2목견인기목견인치료의료기기,굽은등교정기
50000069,물리치료/저주파용품,저주파마사지기,저주파치료기,적외선조사기,부항기,적외선치료기,원적외선온열치료기,클럭패드,온열부항의료기기,클럭,초음파치료기,부황기,온부기,ems마사지기,한솔부항기,비웰스바디펜,휴비딕저주파,부항,클럭마사지기,물리치료기,저주파자극기
50000070,좌욕/좌훈용품,좌욕기,버블좌욕기,닥터프리가정용좌욕기,가정용좌욕기,좌훈기,근적외선좌욕기,치질좌욕기,큐손길n,좌욕대야,좌욕,근적외선,포라덤좌욕기,쑥좌훈기,질온관리기,원적외선좌욕기,임산부좌욕기,온릴스,포비코kf2000,적외선좌욕기,좌욕의자
50000071,냉온/찜질용품,온열찜질기,찜질팩,찜질기,파쉬보온물주머니,전기찜질기,보온물주머니,눈찜질팩,전기찜질팩,파쉬,발온열기,어깨찜질기,물주머니,온수찜질기,돔사우나,허리찜질기,파쉬물주머니,어깨찜질팩,황토찜질팩,무릎찜질기,팥찜질팩
50000072,구강위생용품,치약,칫솔,치간칫솔,암웨이치약,치실,리스테린,덴티스테치약,이갈이마우스피스,센소다인치약,애터미치약,치아미백,엔치약,켄트칫솔,혀클리너,미백치약,유시몰치약,어금니칫솔,첨단칫솔,큐라덴칫솔,애터미칫솔
50000073,눈건강용품,수면안대,초음파세척기,온열안대,인공눈물,안대,안경세척기,식염수,보스톤심플러스,옵티프리,에이오셉,리뉴,초음파안경세척기,생리식염수,메구리즘온열안대,렌즈세척기,메구리즘,멸균생리식염수,안경초음파세척기,아이마스크,옵티프리퓨어모이스트
50000074,발건강용품,종아리마사지기,족욕기,지압슬리퍼,발각질제거기,발마사지기,다리마사지기,무지외반증교정기,발가락교정기,풀리오종아리마사지기,건식족욕기,풀리오,휴앤봇각탕기jb-fs120발족욕기버블스파족욕기,그랜즈레미디,내성발톱교정기,셀라큐어,공기압다리마사지기,코지마발마사지기,폴리오종아리마사지기,각질제거기,발각질제거
50000075,안마용품,안마의자,안마기,마사지건,손마사지기,안마의자7200,괄사,눈마사지기,큐빅안마의자,코웨이안마의자,안마의자lk5000,목마사지기,안마의자lk5000소형,어깨마사지기,안마의자5000,코지마안마의자,바디프랜드팔콘,목안마기,안마의자6000s,괄사마사지기,마사지기
50000076,수납/정리용품,옷걸이,철제선반,스피드랙,리빙박스,선풍기커버,바지걸이,토르박스,타공판,신발정리대,틈새선반,폴딩박스,라탄바구니,옷정리함,조립식앵글,속옷정리함,수납정리함,논슬립옷걸이,모자걸이,압축팩,욕실코너선반
50000077,청소용품,분리수거함,쓰레기통,음식물쓰레기통,재활용분리수거함,휴지통,매직캔휴지통,밀대걸레,돌돌이,빗자루,분리수거쓰레기통,물걸레밀대,자동쓰레기통,물걸레청소포,매직캔,밀대,센서휴지통,스퀴지,화장실청소솔,분리수거통,욕실청소솔
