relative_keyword,avg_price
기저귀가방백팩,42973.0
힙시트,129981.0
기저귀백팩,39446.0
베이비뵨아기띠,207750.0
포그내맥스올인원,369566.0
에르고아기띠,156998.0
신생아아기띠,85329.0
아기띠침받이,14608.0
기저귀파우치,14943.0
베이비뵨미니,200864.0
아기포대기,33571.0
누빔기저귀가방,30698.0
휴대용기저귀매트,25665.0
돗투돗아기띠워머,103409.0
아기욕조,35406.0
아기비데,36631.0
프롬유샤워핸들,56471.0
포프베베,55785.0
신생아욕조,26960.0
샤워핸들,48663.0
포프베베아기비데,71414.0
말랑하니욕조,39887.0
슈너글아기욕조,54888.0
아기목욕가운,25908.0
아기목욕타올,20861.0
폴레드샤워핸들,83844.0
말랑하니,26908.0
센스2030,13065.0
온다베이비플러스,55888.0
온다베이비욕조,46382.0
아기세면대,7818.0
아기로션,18230.0
키즈샴푸,15806.0
아기크림,19488.0
아기바디워시,17988.0
베이비오일,17118.0
쁘리마쥬,91965.0
아토팜MLE크림,35851.0
유아로션,18086.0
존슨즈베이비로션,13952.0
그린핑거,11446.0
아토팜판테놀크림,38096.0
아기선크림,14251.0
키즈바디워시,16184.0
아기수딩젤,18275.0
아토팜로션,34035.0
아토팜탑투토워시,25159.0
아기변기,24153.0
콧물흡입기,20599.0
유아변기커버,21315.0
아기변기커버,25365.0
노시부석션팁,12787.0
포켓몬마스크,19996.0
블루본마스크소형,14563.0
한일포근,97651.0
티니핑마스크,13003.0
한일포근콧물흡입기,3296.0
한일콧물흡입기,3296.0
어린이치약,7425.0
조르단칫솔,17317.0
유아치약,7671.0
아기치약,7710.0
구강티슈,12550.0
어린이치실,9758.0
조르단칫솔1단계,14252.0
벨레다치약,28974.0
제니튼치약,15516.0
조르단칫솔2단계,17374.0
예꼬맘치약,12046.0
브리스틱칫솔,24970.0
코도모칫솔,20233.0
메가텐360,28344.0
블랑키즐치약,21796.0
티니핑칫솔,15316.0
아기섬유유연제,14510.0
호호에미,40689.0
토루토루세탁세제,29016.0
아기세제,22029.0
마이비얼룩제거제,17207.0
유아세제,18456.0
아기세탁세제,22508.0
레드루트세탁세제,49091.0
헬로그린세탁세제,33792.0
애플민트라임섬유유연제,79397.0
레드루트,35006.0
호호에미섬유유연제,42225.0
폴메디슨키즈아토표백제,29234.0
비앤비섬유세제,19909.0
비앤비섬유유연제,17628.0
레드루트섬유유연제,40535.0
네이처러브메레,13041.0
베르블랑,28963.0
유팡젖병소독기,202965.0
젖병세척기,164115.0
젖병건조대,19972.0
젖병보관함,26688.0
젖병세정제,10655.0
유팡,203526.0
픽셀젖병소독기,286797.0
리뗀클로르,22476.0
레이퀸젖병소독기,132590.0
스팀소독기,88934.0
하이비젖병솔,9975.0
하이비,8258.0
벤브와스팀소독기,89766.0
휴대용젖병소독기,56348.0
해님젖병소독기,109771.0
이유식기보관함,29875.0
젖병스팀소독기,83121.0
다퍼남젖병보관함,24278.0
아기안전문,32355.0
아기무릎보호대,12057.0
루보안전문,26226.0
모기팔찌,4224.0
모기패치,6875.0
방문스토퍼,3208.0
아기머리보호대,19071.0
호빵맨모기패치,10559.0
머리쿵보호대,17192.0
아기디딤대,27531.0
히든키즈락,5142.0
아가드안전문,25972.0
범퍼침대,214520.0
기저귀갈이대,92528.0
