relative_keyword,total_search,total_store,competitive_rate,avg_price
한일도검,2210.0,3244.0,1.4678733031674207,365836.0
장검,1180.0,10348.0,8.769491525423728,52114.0
사인검,1190.0,1797.0,1.5100840336134451,65542.0
청룡언월도,2060.0,3334.0,1.6184466019417476,42710.0
복싱화,11520.0,62133.0,5.393489583333333,136292.0
주짓수도복,15210.0,56096.0,3.688099934253781,155397.0
나이키복싱화,3330.0,2160.0,0.6486486486486487,223377.0
아디다스복싱화,2900.0,4449.0,1.5341379310344827,147870.0
태권도화,4490.0,4996.0,1.1126948775055678,36167.0
태권도도복,2680.0,19390.0,7.235074626865671,28988.0
태권도복,2350.0,28124.0,11.967659574468083,30417.0
유도복,3290.0,19744.0,6.001215805471125,159400.0
미즈노복싱화,2780.0,940.0,0.3381294964028777,358937.0
레슬링화,1960.0,21926.0,11.18673469387755,135176.0
아식스복싱화,1730.0,4004.0,2.314450867052023,170377.0
주짓수벨트,2380.0,12292.0,5.1647058823529415,30885.0
아디다스유도복,2150.0,321.0,0.1493023255813953,217473.0
바이탈도복,4930.0,851.0,0.1726166328600405,155145.0
태권도띠,4410.0,8365.0,1.8968253968253967,11320.0
미즈노유도복,1050.0,828.0,0.7885714285714286,136870.0
불테리어도복,1170.0,649.0,0.5547008547008547,261529.0
아식스레슬링화,1010.0,4186.0,4.144554455445545,164865.0
소요롤도복,1650.0,1007.0,0.6103030303030303,184371.0
얼굴햇빛가리개,2040.0,129553.0,63.50637254901961,11437.0
스키바라클라바,4320.0,64019.0,14.819212962962965,21855.0
오일파스텔,18690.0,70692.0,3.782343499197432,20169.0
목각인형,2940.0,94477.0,32.13503401360544,10375.0
문진,15760.0,76184.0,4.834010152284264,13503.0
아크릴재단,17170.0,23732.0,1.382178217821782,423.0
화구통,3300.0,75958.0,23.01757575757576,13992.0
파버카스텔색연필,5110.0,95557.0,18.7,21040.0
프리즈마색연필,6210.0,31945.0,5.144122383252818,48818.0
프리즈마색연필72,2620.0,3707.0,1.414885496183206,111649.0
맥세이프차량용거치대,21040.0,63041.0,2.996245247148289,27164.0
테이프공,4810.0,75248.0,15.644074844074844,4008.0
티니핑피규어,7840.0,28349.0,3.615943877551021,10941.0
슬램덩크피규어,3020.0,65005.0,21.52483443708609,39551.0
새총,9700.0,56365.0,5.810824742268041,17487.0
탑로더,12410.0,39847.0,3.2108783239323127,4845.0
슬램덩크만화책,5600.0,1009.0,0.1801785714285714,59484.0
테이프볼,1040.0,75248.0,72.35384615384615,4004.0
젤다아미보,7230.0,12861.0,1.7788381742738588,28013.0
생이새우,12970.0,3466.0,0.2672320740169622,6128.0
체리새우,13820.0,5621.0,0.4067293777134587,5613.0
