relative_keyword,avg_price
란시노라놀린크림,34277.0
어린이집낮잠이불,60422.0
아기베개,33704.0
신생아아기이불,38651.0
아기방수패드,18614.0
아기블랭킷,27390.0
속싸개,26164.0
어린이집이불,59483.0
아기토퍼,62432.0
신생아베개,34146.0
낮잠이불세트,80495.0
백일상,42613.0
결혼답례품,4812.0
꿀답례품,5524.0
돌잔치답례품,4832.0
어린이집구디백,2497.0
돌상대여,41660.0
유치보관함,16443.0
유치원답례품,2567.0
조문답례품,4913.0
50일셀프촬영,25122.0
아기우주복,40274.0
밍크뮤바디수트,59734.0
패딩우주복,83181.0
아기손수건,10122.0
에뜨와우주복,47762.0
에뜨와바디수트,56551.0
아기한복,40895.0
여아한복,50624.0
남아한복,42881.0
나이키키즈운동화,39692.0
뉴발란스키즈운동화,63048.0
휠라키즈운동화,37655.0
초등소풍가방,47340.0
미니멜리사,29648.0
유아래쉬가드,24924.0
아기수영복,27064.0
키즈래쉬가드,32781.0
주니어래쉬가드,26232.0
유아수영복,26725.0
여아래쉬가드,27446.0
아레나키즈수영복,59480.0
아기래쉬가드,31423.0
주니어수영복,30673.0
배럴키즈래쉬가드,37315.0
아레나남아수영복,57129.0
아동래쉬가드,32927.0
여아실내수영복,30033.0
아레나여아수영복,58833.0
쏘서,117633.0
졸리점퍼대여,12815.0
바운서,102443.0
베이비뵨바운서,181280.0
졸리점퍼,83344.0
점퍼루,100604.0
뉴나바운서,172556.0
아마존쏘서,146438.0
어라운드위고,75345.0
베이비뵨바운서대여,32153.0
포맘스바운서,102196.0
바운서대여,20771.0
피셔프라이스바운서,85892.0
콤비보행기,102951.0
아기보행기,90358.0
보행기대여,23858.0
신생아바운서,95563.0
쏘서대여,21968.0
세이지폴바운서,133849.0
폴더매트,106011.0
유아킥보드,88067.0
아기텐트,47279.0
베이비룸,109539.0
포켓몬카드앨범,10472.0
전동물총,25604.0
알파벳로어,15911.0
레인보우프렌즈,9693.0
아기애착인형,25489.0
종이인형,9307.0
파라필름,27999.0
소마셈,38138.0
메모리게임,9938.0
원소주기율표,36599.0
핀덴베베,458205.0
소중한글,18658.0
고무마개,2628.0
영어보드게임,21541.0
귀멸의칼날만화책,17187.0
팩토수학,32233.0
기적의한글,46084.0
한우선물세트,121328.0
양념LA갈비,37151.0
양념갈비,22153.0
반찬정기배송,45364.0
밑반찬,14398.0
명이나물,23206.0
김부각,14359.0
부각,11132.0
고추부각,10449.0
매실장아찌,20520.0
콩잎장아찌,15029.0
궁채장아찌,10504.0
무말랭이,10129.0
코우코우,7953.0
