relative_keyword,zzim_10,zzim_50,zzim_100,zzim_1000
스타배구공,36,3,1,0
레벨기삼각대,38,1,1,0
방울솜,37,0,3,0
WPC양산,27,0,11,2
겨울속바지,26,6,7,1
전동칼갈이,32,3,5,0
조지루시보온도시락,31,5,4,0
장독,35,2,3,0
검전기,37,3,0,0
밴디지,31,7,2,0
로우로우백팩,31,2,7,0
플란체바,35,3,2,0
배즙,32,6,2,0
돌잔치영상,25,3,11,1
사운드벽보,34,4,2,0
돌성장동영상,23,4,12,1
튤립코바늘,29,4,7,0
침칠봉,31,2,7,0
책금고,35,1,4,0
못난이진주목걸이,20,4,12,4
돌반지케이스,12,6,18,4
오이지,35,1,4,0
8개월아기장난감,31,1,7,1
캠핑용변기,20,7,13,0
돌영상제작,24,4,11,1
아기백팩,33,4,3,0
거북이등딱지쿠션,35,1,4,0
개미집,35,3,2,0
아기200일셀프촬영,1,2,24,13
가족여권케이스,24,5,11,0
미즈노엑셀아이노패킹,31,5,4,0
스탠드타공판,29,4,6,1
꼬꼬노리치발기,36,1,3,0
절복,25,6,9,0
레몬즙짜기,34,1,5,0
와이어줄넘기,34,2,4,0
요솜,35,2,3,0
느티나무도마,34,3,3,0
닥스벨트,38,1,1,0
한국민속촌한복대여,7,1,0,0
콩조림,39,1,0,0
와플블럭,35,3,2,0
캐치맙,37,1,2,0
벽데코타일,28,2,8,2
자전거후레쉬,33,3,4,0
렌즈세척,36,2,2,0
리본목걸이,25,6,7,2
애리조나880,2,0,1,0
꼴레지앙,31,4,5,0
칠침봉,26,5,9,0
미드센츄리의자,23,5,11,1
욕창방지쿠션,32,2,6,0
돌잔치성장동영상,23,4,12,1
미즈노엑셀아이,32,4,4,0
캐리어저울,32,4,4,0
토트넘유니폼,33,2,5,0
대형견조끼,32,2,6,0
리바이스벨트,38,0,2,0
실꿰기,35,1,4,0
빨래바구니3단,19,4,16,1
숏사각수영복,33,3,4,0
다이아몬드숫돌,35,1,4,0
리델와인잔,33,3,4,0
붕붕카,24,7,8,1
정수기선반,22,5,12,1
콩알탄,39,1,0,0
아기성장앨범,28,4,8,0
아기스카프,28,4,8,0
창문자동개폐기,38,0,2,0
카시오공학용계산기,33,4,3,0
핀삭스,36,2,2,0
캐패시터,37,2,1,0
젤라틴,35,2,3,0
한글카드,22,4,12,2
테니스슬링백,23,5,12,0
포켓몬고플러스,35,2,3,0
데스커책상매트,33,1,6,0
레고보관함,17,5,17,1
카포트,39,0,1,0
성장영상,25,3,11,1
족구공,40,0,0,0
높은베개,37,0,3,0
쌀강정,31,1,8,0
산토리하이볼잔,21,5,13,1
아가방딸랑이,39,0,1,0
파크골프공,35,4,1,0
산소포화도,36,1,3,0
칼갈이기계,35,2,3,0
아기선글라스,29,3,7,1
삼숙이,37,0,3,0
응모함,38,0,2,0
감마루스,39,0,1,0
피규어아크릴케이스,7,5,23,5
파삼,32,5,3,0
자동연필깍기,28,5,7,0
자동연필깎이,28,5,7,0
내귤반쪽,3,0,0,1
닥스손수건,32,4,4,0
주니어트레이닝바지,31,5,4,0
벤츠붕붕카,30,4,6,0
기미상궁염도계,39,0,1,0
레그슬리브,35,2,3,0
요강,31,2,7,0
콩자반,38,1,1,0
골프숏티,36,1,3,0
유두보호기,37,1,2,0
거북이쿠션,35,1,4,0
유치보관함,28,4,7,1
치킨무,37,2,1,0
판도라반지,16,10,12,2
캠핑팝콘,37,0,3,0
오일파스텔,31,3,6,0
전술화,33,4,3,0
에어매쉬매트,36,1,3,0
신발늘리기,33,1,5,1
해면기,38,1,1,0
거북이등쿠션,37,0,3,0
계량한복여성,24,4,11,1
국산고추장,27,5,8,0
센터스노클,37,1,2,0
지오지아셔츠,35,4,1,0
비빔장,34,3,3,0
숯돌,35,4,1,0
레이저포인터,31,6,3,0
테이블대여,10,6,20,4
크록스장화,32,3,5,0
기모속바지,28,4,7,1
얇은허리보호대,35,2,3,0
배드민턴콕,37,2,1,0
자전거유아안장,36,3,1,0
대왕발,36,2,2,0
편도결석제거,36,2,2,0
수제오란다,11,6,22,1
겉싸개,30,5,5,0
티비가리개,33,1,6,0
대바늘,24,8,8,0
킥판,37,1,2,0
미니욕조,32,3,5,0
좌우반전거울,36,2,1,1
반전거울,35,2,2,1
슈퍼캐패시터,37,2,1,0
일본양산,30,2,7,1
동굴텐트,34,3,2,1
티즐,37,1,2,0
캐리어방수커버,21,5,12,2
버터오징어,25,3,12,0
스마트초인종,39,0,1,0
일본교복,34,1,4,1
명품여권케이스,33,5,1,1
유도등,37,3,0,0
아레나수영모,25,4,11,0
스와로브스키귀걸이,31,2,6,1
연습용드럼패드,36,1,3,0
애플티,34,2,4,0
낱말카드,17,4,17,2
왕돈까스,29,4,6,1
병원가디건,29,5,6,0
계피가루,28,4,7,1
락포트펌프스,23,7,10,0
몰펀블럭,35,2,3,0
몰펀,35,2,3,0
알리흘라,28,3,9,0
17인치노트북파우치,10,3,25,2
화과자선물세트,24,5,10,1
진동벨,38,0,2,0
자동손세정제,30,4,6,0
제왕절개팬티,36,1,3,0
방충망시공,27,2,9,2
요넥스테니스화,37,3,0,0
간호사가디건,28,6,6,0
붕어빵팬,25,7,7,1
영업중간판,29,6,5,0
계량한복,25,4,10,1
아기변기커버,20,5,15,0
제왕절개복대,33,2,5,0
골반뽕,31,4,5,0
인의흑막,37,3,0,0
보청기,36,2,2,0
릴리팟,36,2,2,0
붕어빵만들기,29,2,8,1
휴대용변기커버,28,5,7,0
실리콘방석,35,0,5,0
라지킹침구세트,32,3,4,1
세면대뚫어뻥,30,3,7,0
미드센추리의자,16,3,20,1
벤츠핸들커버,33,2,5,0
롱토치,34,3,3,0
U자바디필로우,36,1,3,0
홍쌍리매실장아찌,37,0,3,0
초등학생우산,26,6,8,0
피구공,37,3,0,0
버터구이오징어,27,1,12,0
자전거속바지,32,2,6,0
오프라벨,39,1,0,0
오징어순대,28,5,6,1
성장동영상,23,4,12,1
3단빨래바구니,19,4,16,1
싱크대하부장선반,12,7,14,7
나무발판,22,5,12,1
수저집,38,0,2,0
미니골프백,33,3,4,0
